rva,va,kind,size,name_mangled,name,source
0x00484b4c,0x10484b4c,string,0,??_C@_0CH@LKID@?$CK?$CK?$CK?$CK?$CK?$CK?$CK?$CK?5SEF_PIKI_GROW0?5?$CB?$CB?$CB?$CB?5?$CFd?5@,"""******** SEF_PIKI_GROW0 !!!! %d ""...",ilk
0x00484b74,0x10484b74,string,0,??_C@_0BN@EOAE@to?5save?5or?5not?5to?5save?5?4?4?4?4?6?$AA@,"""to save or not to save ....\n""",ilk
0x00484b94,0x10484b94,data,0,__real@4@4002d000000000000000,__real@4@4002d000000000000000,ilk
0x00484b98,0x10484b98,vtable,0,??_7BombAI@@6B@,const BombAI::`vftable',ilk
0x00484ba8,0x10484ba8,vtable,0,??_7SetInit@BombAI@@6B@,const BombAI::SetInit::`vftable',ilk
0x00484bac,0x10484bac,vtable,0,??_7SetExec@BombAI@@6B@,const BombAI::SetExec::`vftable',ilk
0x00484bb0,0x10484bb0,vtable,0,??_7BombInit@BombAI@@6B@,const BombAI::BombInit::`vftable',ilk
0x00484bb4,0x10484bb4,vtable,0,??_7BombExec@BombAI@@6B@,const BombAI::BombExec::`vftable',ilk
0x00484bb8,0x10484bb8,vtable,0,??_7MizuInit@BombAI@@6B@,const BombAI::MizuInit::`vftable',ilk
0x00484bbc,0x10484bbc,vtable,0,??_7MizuExec@BombAI@@6B@,const BombAI::MizuExec::`vftable',ilk
0x00484bc0,0x10484bc0,vtable,0,??_7DieInit@BombAI@@6B@,const BombAI::DieInit::`vftable',ilk
0x00484bc4,0x10484bc4,vtable,0,??_7DieExec@BombAI@@6B@,const BombAI::DieExec::`vftable',ilk
0x00484bc8,0x10484bc8,string,0,??_C@_0BF@GKCP@this?5is?5not?5bomb?5?$CFs?6?$AA@,"""this is not bomb %s\n""",ilk
0x00484be0,0x10484be0,string,0,??_C@_07LFNE@setInit?$AA@,"""setInit""",ilk
0x00484be8,0x10484be8,string,0,??_C@_0O@GLMP@BOMB?5?$CK?5?$CFf?1?$CFf?6?$AA@,"""BOMB * %f/%f\n""",ilk
0x00484bf8,0x10484bf8,string,0,??_C@_0DK@LEHK@c?3?2development?2dolphinpiki?2plugp@,"""c:\\development\\dolphinpiki\\plugp""...",ilk
0x00484c34,0x10484c34,string,0,??_C@_07NEHK@setExec?$AA@,"""setExec""",ilk
0x00484c3c,0x10484c3c,string,0,??_C@_0BI@ENHJ@send?5bomb?5event?5?4?4?4?5?$CFx?6?$AA@,"""send bomb event ... %x\n""",ilk
0x00484c54,0x10484c54,string,0,??_C@_0BD@FAEC@BOMB?5TIMER?5?$DN?5?$CF?41f?6?$AA@,"""BOMB TIMER = %.1f\n""",ilk
0x00484c68,0x10484c68,string,0,??_C@_09FBIC@all?5done?6?$AA@,"""all done\n""",ilk
0x00484c74,0x10484c74,string,0,??_C@_0N@GPFE@part?5found?5?6?$AA@,"""part found \n""",ilk
