rva,kind,size,name_mangled,name,source
0x0001e0e0,function,73,,FUN_1001e0e0,ghidra
0x0001e130,function,86,,Delegate1_ColourMenu_MenuR::Delegate1_ColourMenu_MenuR,ghidra
0x0001e190,function,73,,FUN_1001e190,ghidra
0x0001e1e0,function,86,,FUN_1001e1e0,ghidra
0x0001e240,function,73,,FUN_1001e240,ghidra
0x0001e290,function,86,,FUN_1001e290,ghidra
0x0001e2f0,function,73,,FUN_1001e2f0,ghidra
0x0001e340,function,86,,Delegate1_DayMgr_MenuR::Delegate1_DayMgr_MenuR,ghidra
0x0001e3a0,function,73,,FUN_1001e3a0,ghidra
0x0001e3f0,function,1807,,TimeSetting::TimeSetting,ghidra
0x0001eb00,function,454,,LightPool::LightPool,ghidra
0x0001ecd0,function,1486,,LightPool::draw,ghidra
0x0001f2a0,function,750,,FUN_1001f2a0,ghidra
0x0001f590,function,136,,Vector3f::operatorAdd,ghidra
0x0001f620,function,158,,GameExitSection::GameExitSection,ghidra
0x0001f6c0,function,227,,GameExit_Print,ghidra
0x0001f7b0,function,123,,FUN_1001f7b0,ghidra
0x0001f830,function,36,,FUN_1001f830,ghidra
0x0001f860,function,247,,showFrame,ghidra
0x0001f960,function,272,,BaseGameSection::BaseGameSection,ghidra
0x0001fa70,function,770,,BaseGameSection::draw,ghidra
0x0001fd80,function,237,,IntroGameModeState::update,ghidra
0x0001fe70,function,227,,newPikiGame_Print,ghidra
0x0001ff60,function,110,,handleTutorialWindow,ghidra
0x0001ffd0,function,97,,deleteTutorialWindow,ghidra
0x00020040,function,91,,RunningModeState::RunningModeState,ghidra
0x000200a0,function,1506,,RunningModeState::update,ghidra
0x00020690,function,100,,deleteMenuWindow,ghidra
0x00020700,function,304,,DayOverModeState::DayOverModeState,ghidra
